file_index,file_name,page_index,page_count,filename_number,crop_number_guess,text_number_guess,date_guess,title_guess,crop_text,text_path,crop_path,page_path
1,Receipt-2224-0705-0002.pdf,1,1,,,1,,,OpenAl,/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/texts/01_Receipt-2224-0705-0002_p001.txt,/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/topright/01_Receipt-2224-0705-0002_p001_topright.png,/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/pages/01_Receipt-2224-0705-0002_p001.png
2,甲1 検証調書 20260417 ＠署名要確認.pdf,1,59,1,,1,20260403,検証調書,"|                 の
書 (FA)
令和8年4月1 7日
き守寺泊中
暴力団対策課
tam fo HA Ca",/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/texts/02_1_20260417_p001.txt,/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/topright/02_1_20260417_p001_topright.png,/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/pages/02_1_20260417_p001.png
2,甲1 検証調書 20260417 ＠署名要確認.pdf,2,59,1,,2,,,"ABE 光納 BB
査長 藤田 He
ASH Yak 焦平             -",/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/texts/02_1_20260417_p002.txt,/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/topright/02_1_20260417_p002_topright.png,/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/pages/02_1_20260417_p002.png
2,甲1 検証調書 20260417 ＠署名要確認.pdf,3,59,1,,1,,,we,/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/texts/02_1_20260417_p003.txt,/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/topright/02_1_20260417_p003_topright.png,/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/pages/02_1_20260417_p003.png
2,甲1 検証調書 20260417 ＠署名要確認.pdf,4,59,1,,5,,,"iの状況)
ils)",/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/texts/02_1_20260417_p004.txt,/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/topright/02_1_20260417_p004_topright.png,/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/pages/02_1_20260417_p004.png
2,甲1 検証調書 20260417 ＠署名要確認.pdf,5,59,1,,1,,,")
Kit)
IIII",/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/texts/02_1_20260417_p005.txt,/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/topright/02_1_20260417_p005_topright.png,/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/pages/02_1_20260417_p005.png
2,甲1 検証調書 20260417 ＠署名要確認.pdf,6,59,1,401,401,,,"2)
a
(401)",/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/texts/02_1_20260417_p006.txt,/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/topright/02_1_20260417_p006_topright.png,/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/pages/02_1_20260417_p006.png
2,甲1 検証調書 20260417 ＠署名要確認.pdf,7,59,1,,2,,,"(その2)
:時は車両、人通り共にまばらである。",/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/texts/02_1_20260417_p007.txt,/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/topright/02_1_20260417_p007_topright.png,/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/pages/02_1_20260417_p007.png
2,甲1 検証調書 20260417 ＠署名要確認.pdf,8,59,1,1,3,,,"ング
(その 1 )
現場建物全景を北西
\          方から撮影
則          〇 印は現場建物",/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/texts/02_1_20260417_p008.txt,/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/topright/02_1_20260417_p008_topright.png,/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/pages/02_1_20260417_p008.png
2,甲1 検証調書 20260417 ＠署名要確認.pdf,9,59,1,3,1,,,"3)
(その2)
及びビル名称が掲示されている。",/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/texts/02_1_20260417_p009.txt,/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/topright/02_1_20260417_p009_topright.png,/Users/kometaninaoki/law-secretary/generated/kou_evidence_page_scan/pages/02_1_20260417_p009.png
