区分,タスク内容,期限の数え方（条文・案内ベース）,Re-Start具体日（2026/01/23 設立・第1期 2026/01/23〜2026/12/31・個人事業並存・初給与2026/05/25）,提出先・窓口,根拠・参考リンク,Re-Startメモ（個人事務所→法人成り＋個人事業並存／東弁／代表社員のみ／事務員なし）
0_前提,設立日・事業年度・初給与・個人並存の確認,—,設立 2026/01/23（金）／第1期 2026/01/23〜2026/12/31／初給与 2026/05/25／個人事業を**並存維持**,—,—,"日付は起算日の取扱で前後する。最終日付は提出先・税理士・社労士で確定する前提。"
0_前提,休日順延の確認（民法140〜142、国税通則法10条等）,期間末日が日曜・祝日等のときは翌営業日に順延される手続が多い,各行で日付（休日順延後）を併記,—,https://elaws.e-gov.go.jp/document?lawid=129AC0000000089,"民法140条で初日不算入が原則。届出ごとの起算ルールは個別根拠で確認。"
A_登記・印鑑,弁護士法人 設立登記の申請,設立日＝主たる法律事務所所在地での設立登記の日,2026/01/23（金）申請,主たる事務所を管轄する法務局,https://elaws.e-gov.go.jp/document?lawid=324AC1000000205,"豊島区東池袋を管轄する法務局へ。司法書士に依頼。"
A_登記・印鑑,代表者印・銀行印・角印の作成と印鑑届出書,設立登記申請と同時または直後,2026/01/23 と同日 or 直後,法務局,https://houmukyoku.moj.go.jp/homu/static/online_syoumei_annai.html,"印鑑カード交付申請までセットで。"
A_登記・印鑑,登記事項証明書・印鑑証明書の取得,登記完了直後,登記完了後すみやかに（5〜10通）,法務局（オンライン申請可）,https://houmukyoku.moj.go.jp/homu/static/online_syoumei_annai.html,"日弁連／東弁／年金事務所／銀行／賠責／賃貸先名義変更等で多用。"
B_弁護士会・日弁連,弁護士法人 成立届出（登記事項証明書・定款写し添付）,成立の日から2週間以内（弁護士法 第30条系）,2026/02/06（金）目安（厳密期限は東弁手引で確定）,東京弁護士会（経由）→ 日本弁護士連合会,https://elaws.e-gov.go.jp/document?lawid=324AC1000000205,"東弁の様式・経由運用に従う。"
B_弁護士会・日弁連,東弁への弁護士法人入会・法律事務所届出（法人会員）／会費の決定,東弁の運用に従う,2026年1〜2月で並走,東京弁護士会,https://www.toben.or.jp/,"法人会員の入会金・年会費が個人会費とは別建てで発生。"
B_弁護士会・日弁連,弁護士賠償責任保険：個人加入＋法人加入の二本立て（個人事業並存のため）,新加入時期に合わせる,2026/01〜02 に見積→加入,東弁協／株式会社カイトー等,https://www.tokyo-law.com/service/insurance/lineup/benbai.html,"並存の場合、**個人として受任する事件は個人加入、法人として受任する事件は法人加入**で別々にかける運用が必要。代理店に並存前提で設計を依頼。"
B_弁護士会・日弁連,**【個人事業並存・要確認】弁護士法 第30条の19第2項『他の社員の承諾』の社内処理,設立直後（並存業務開始前）,2026/01/23 〜 並存業務開始までに 自己同意の議事録・承諾書を作成,事務所内（書面保管）,https://elaws.e-gov.go.jp/document?lawid=324AC1000000205,"代表社員が自己又は第三者のために弁護士法人の業務範囲に属する業務を行うには『他の社員の承諾』が必要。**1人法人**なので形式的には自己同意で足りるが、後日の説明責任のため**書面化必須**。"
B_弁護士会・日弁連,**【個人事業並存・要確認】弁護士法 第30条 営利業務の届出（東弁）,所属弁護士会の定めに従う（営利業務に該当する場合）,法人化の前後で 個人事業の届出状況を東弁に再確認,東京弁護士会,https://elaws.e-gov.go.jp/document?lawid=324AC1000000205,"並存させる『個人事業としての弁護士業』が営利業務該当として既に届出済かを確認。法人化に伴う事務所表記等の変更があれば変更届。"
B_弁護士会・日弁連,**【個人事業並存】受任時の主体明示・利益相反チェックの仕組化,法人化と同時に運用開始,2026/01/23 から運用,事務所内（受任時手続）,https://www.nichibenren.or.jp/library/pdf/jfba_info/rules/kaiki/kaiki_no_47r.pdf,"委任契約の主体が『個人 米谷尚起』か『弁護士法人Re-Start法律事務所』かを 受任時に明示。利益相反確認も主体ごとに走らせる。"
C_税務（国税）,法人設立届出書,設立から2か月以内,2026/03/23（月）,豊島税務署,https://www.nta.go.jp/taxes/shiraberu/taxanswer/hojin/5100.htm,"豊島区が納税地。"
C_税務（国税）,給与支払事務所等の開設届出書,事実があった日から1か月以内,設立同日扱いなら 2026/02/24（火・祝順延後）／実務的には設立届と同時提出。**初給与2026/05/25 より前に必着**,豊島税務署,https://www.nta.go.jp/taxes/shiraberu/shinkoku/yoshiki/01/annai/1648_37.htm,"代表社員報酬の源泉徴収義務発生。"
C_税務（国税）,源泉所得税の納期の特例の承認に関する申請書（任意・常時10人未満）,任意・申請月の翌月以降に効力,2026/01〜02 同時提出が実務的（最遅でも初給与2026/05/25 までに）,豊島税務署,https://www.nta.go.jp/taxes/shiraberu/taxanswer/gensen/2503.htm,"年2回納付に。"
C_税務（国税）,青色申告の承認申請書（法人）,3か月経過日と第1期事業年度終了日のいずれか早い日の前日まで,2026/04/22（水）,豊島税務署,https://www.nta.go.jp/taxes/shiraberu/taxanswer/hojin/5100.htm,"3か月経過日（2026/04/23）が先に来る。"
C_税務（国税）,**役員報酬（定期同額給与）の決定・支給開始,事業年度開始日から3か月を経過する日まで（法人税法施行令69条）,**期限：2026/04/23（木）／実務：2026/04 中旬までに金額確定→2026/05/25 から定額支給開始,法人内手続→社員総会議事録,https://elaws.e-gov.go.jp/document?lawid=340CO0000000097,"5/25 初給与が定期同額の起点。事業年度内（2026/12/31）まで原則同額。第1期は2026/05〜12 の8回支給設計が現実的。"
C_税務（国税）,**役員賞与（事前確定届出給与）に関する届出書,新設法人は『設立日から2か月を経過する日』まで（特例）／通常会計期間は『株主総会等の決議日から1月／職務執行開始日から1月／事業年度開始から4月』の最も早い日,**第1期に賞与を出すなら：2026/03/23（月）が最終提出期限／賞与日・金額・支給対象者を全て確定して届出が必要,豊島税務署,https://www.nta.go.jp/taxes/shiraberu/taxanswer/hojin/5100.htm,"**ボーナスを絶対やる場合は、3/23が事実上のデッドライン。** 出さないと損金不算入で実質二重課税。**届出後の支給は『日付・金額・人数』全部一致でないと全額損金否認**になるので慎重に金額・日付を決める。第2期以後は通常ルール（事業年度開始から4月＝2027/04/30 等）。"
C_税務（国税）,棚卸資産・減価償却資産の方法の届出書（必要な場合）,設立第1期の確定申告書の提出期限まで,2027/03/01（月）目安（2027/02/28 が日曜のため翌営業日）,豊島税務署,https://www.nta.go.jp/taxes/shiraberu/taxanswer/hojin/5100.htm,"法定方法以外を採用するときに提出。"
C_税務（国税）,適格請求書発行事業者（インボイス）登録申請書,新設法人特例：事業開始日が属する課税期間の末日までに登録申請＋課税事業者選択届出書（免税事業者の場合）,2026/12/31 まで／実務は早めに（クライアント側経理と整合）,所轄インボイス登録センター（e-Tax可）,https://www.nta.go.jp/taxes/shiraberu/zeimokubetsu/shohi/keigenzeiritsu/pdf/qa/01-04.pdf,"**個人事業のインボイス番号は法人化で失効しない（個人事業を並存維持するなら個人番号を継続使用、法人として別途新規取得）。** 個人と法人で番号が2つになるため、請求書の発行主体ごとに番号を切り替える運用が必要。"
C_税務（国税）,消費税の課税事業者選択届出書／簡易課税制度選択届出書（必要な場合）,届出ごとに異なる,個別,豊島税務署,https://www.nta.go.jp/taxes/shiraberu/taxanswer/hojin/5100.htm,"インボイス取得・売上見込みで判断。"
D_税務（地方税）,法人設立届出書（地方税用 その2）,自治体の手引（解説では事業開始から10〜15日が一般的）,目安2026/02/06 前後,豊島都税事務所,https://www.tax.metro.tokyo.lg.jp/,"23区内なので都税事務所のみ。"
E_社会保険,健康保険・厚生年金 新規適用届（法人事業所は『事業主のみの場合を含む』強制適用）,事実発生から5日以内,2026/01/28（水）,日本年金機構（豊島年金事務所等の管轄）,https://www.nenkin.go.jp/service/kounen/tekiyo/jigyosho/20150311.html,"代表社員1人でも法人＝強制適用。"
E_社会保険,被保険者資格取得届（先生本人）,事実発生から5日以内,2026/01/28（水）／報酬月額前提,豊島年金事務所,https://www.nenkin.go.jp/service/kounen/jigyonushi/index.html,"標準報酬月額は4月決定の役員報酬と整合。"
